,code,type,team,player,x,y,minute,second,period,match,team_name,player_name,outcome,phase,tipo.1,end_x,end_y,extra
0,1,pass,184,449300,50.1,50.0,0,0,1,2372222,Rayo Vallecano,Randy Nteka,1,0,0,32.1,62.1,0
1,1,failed_pass,184,77359,29.0,63.8,0,2,1,2372222,Rayo Vallecano,Florian Lejeune,0,0,0,76.0,101.1,0
2,5,ball_out,1564,432838,23.8,0.0,0,6,1,2372222,Almería,Luis Suárez,1,0,347,0.0,0.0,0
3,5,ball_out,184,77359,76.2,100.0,0,6,1,2372222,Rayo Vallecano,Florian Lejeune,0,0,347,0.0,0.0,0
4,1,pass,1564,234548,24.2,0.0,0,17,1,2372222,Almería,Álex Pozo,1,0,0,34.7,5.3,0
5,1,failed_pass,1564,441293,34.7,5.3,0,18,1,2372222,Almería,Lázaro,0,0,0,38.0,15.8,0
6,1,failed_pass,184,183462,60.3,83.7,0,19,1,2372222,Rayo Vallecano,Unai López,0,0,0,70.2,91.3,0
7,1,failed_pass,1564,234548,24.6,12.0,0,21,1,2372222,Almería,Álex Pozo,0,0,0,36.1,12.9,0
8,49,ball_recovery,184,433161,61.6,88.8,0,22,1,2372222,Rayo Vallecano,Óscar Valentín,1,0,0,0.0,0.0,0
9,1,pass,184,433161,60.9,87.0,0,22,1,2372222,Rayo Vallecano,Óscar Valentín,1,0,0,63.2,94.2,0
10,1,pass,184,178424,63.1,94.4,0,24,1,2372222,Rayo Vallecano,Alfonso Espino,1,0,0,69.3,94.9,0
11,1,failed_pass,184,165682,69.3,94.9,0,24,1,2372222,Rayo Vallecano,Álvaro García,0,0,0,69.3,86.1,0
12,49,ball_recovery,1564,233681,30.4,14.3,0,25,1,2372222,Almería,Lucas Robertone,1,0,0,0.0,0.0,0
13,1,pass,1564,233681,33.3,4.7,0,27,1,2372222,Almería,Lucas Robertone,1,0,0,44.6,5.9,0
14,4,foul_received,1564,432838,42.3,6.8,0,29,1,2372222,Almería,Luis Suárez,1,0,152,0.0,0.0,0
15,4,foul_committed,184,77359,57.7,93.2,0,29,1,2372222,Rayo Vallecano,Florian Lejeune,0,0,152,0.0,0.0,0
16,1,pass,1564,233681,42.9,6.7,0,37,1,2372222,Almería,Lucas Robertone,1,0,0,27.0,25.6,0
17,1,pass,1564,469402,26.2,28.3,0,39,1,2372222,Almería,Edgar González,1,0,0,29.8,67.5,0
18,1,pass,1564,210977,30.4,67.8,0,43,1,2372222,Almería,Srdjan Babic,1,0,0,41.4,94.4,0
19,1,failed_pass,1564,463170,41.6,94.4,0,46,1,2372222,Almería,Iddrisu Baba,0,0,0,42.8,94.7,0
20,74,pass_block,184,183462,55.7,4.9,0,46,1,2372222,Rayo Vallecano,Unai López,1,0,0,0.0,0.0,0
21,5,ball_out,184,183462,51.5,0.0,0,48,1,2372222,Rayo Vallecano,Unai López,0,0,347,0.0,0.0,0
22,5,ball_out,1564,220871,48.5,100.0,0,48,1,2372222,Almería,Sergio Akieme,1,0,347,0.0,0.0,0
23,1,pass,1564,220871,59.1,100.0,1,3,1,2372222,Almería,Sergio Akieme,1,0,0,66.7,96.5,0
24,1,pass,1564,132161,66.7,96.5,1,5,1,2372222,Almería,Adri Embarba,1,0,0,58.1,97.4,0
25,45,dribble_received,184,183462,37.9,5.5,1,7,1,2372222,Rayo Vallecano,Unai López,0,0,0,0.0,0.0,0
26,3,dribble_successful,1564,220871,62.1,94.5,1,7,1,2372222,Almería,Sergio Akieme,1,0,0,0.0,0.0,0
27,1,failed_pass,1564,220871,57.9,97.4,1,9,1,2372222,Almería,Sergio Akieme,0,0,0,70.5,99.0,0
28,49,ball_recovery,184,89399,23.0,4.0,1,12,1,2372222,Rayo Vallecano,Aridane Hernández,1,0,0,0.0,0.0,0
29,1,failed_pass,184,89399,22.8,3.3,1,12,1,2372222,Rayo Vallecano,Aridane Hernández,0,0,0,39.1,2.3,0
30,61,touched_ball,1564,220871,60.0,98.0,1,13,1,2372222,Almería,Sergio Akieme,1,0,0,0.0,0.0,0
31,5,ball_out,184,434078,42.2,0.0,1,14,1,2372222,Rayo Vallecano,Isi Palazón,1,0,347,0.0,0.0,0
32,5,ball_out,1564,220871,57.8,100.0,1,14,1,2372222,Almería,Sergio Akieme,0,0,347,0.0,0.0,0
33,1,pass,184,97624,46.7,0.0,1,37,1,2372222,Rayo Vallecano,Iván Balliu,1,0,0,61.7,5.2,0
34,44,aerial_duel,184,434078,61.9,5.3,1,38,1,2372222,Rayo Vallecano,Isi Palazón,1,0,0,0.0,0.0,0
35,44,aerial_duel,1564,463170,38.1,94.7,1,38,1,2372222,Almería,Iddrisu Baba,0,0,0,0.0,0.0,0
