codigo	tipo	equipo	player	x	y	min	sec	period	partido	nombre_equipo	nombre_jugador	outcome	fase	tipo	end_x	end_y	extra
1	pase	184	449300	50.1	50	0	0	1	2372222	Rayo Vallecano	Randy Nteka	1	0	0	32.1	62.1	0
1	pase_fallado	184	77359	29	63.8	0	2	1	2372222	Rayo Vallecano	Florian Lejeune	0	0	0	76	101.1	0
5	balon_fuera	1564	432838	23.8	0	0	6	1	2372222	Almería	Luis Suárez	1	0	347	0	0	0
5	balon_fuera	184	77359	76.2	100	0	6	1	2372222	Rayo Vallecano	Florian Lejeune	0	0	347	0	0	0
1	pase	1564	234548	24.2	0	0	17	1	2372222	Almería	Álex Pozo	1	0	0	34.7	5.3	0
1	pase_fallado	1564	441293	34.7	5.3	0	18	1	2372222	Almería	Lázaro	0	0	0	38	15.8	0
1	pase_fallado	184	183462	60.3	83.7	0	19	1	2372222	Rayo Vallecano	Unai López	0	0	0	70.2	91.3	0
1	pase_fallado	1564	234548	24.6	12	0	21	1	2372222	Almería	Álex Pozo	0	0	0	36.1	12.9	0
49	recuperacion_balon	184	433161	61.6	88.8	0	22	1	2372222	Rayo Vallecano	Óscar Valentín	1	0	0	0	0	0
1	pase	184	433161	60.9	87	0	22	1	2372222	Rayo Vallecano	Óscar Valentín	1	0	0	63.2	94.2	0
1	pase	184	178424	63.1	94.4	0	24	1	2372222	Rayo Vallecano	Alfonso Espino	1	0	0	69.3	94.9	0
1	pase_fallado	184	165682	69.3	94.9	0	24	1	2372222	Rayo Vallecano	Álvaro García	0	0	0	69.3	86.1	0
49	recuperacion_balon	1564	233681	30.4	14.3	0	25	1	2372222	Almería	Lucas Robertone	1	0	0	0	0	0
1	pase	1564	233681	33.3	4.7	0	27	1	2372222	Almería	Lucas Robertone	1	0	0	44.6	5.9	0
4	falta_recibida	1564	432838	42.3	6.8	0	29	1	2372222	Almería	Luis Suárez	1	0	152	0	0	0
4	falta_cometida	184	77359	57.7	93.2	0	29	1	2372222	Rayo Vallecano	Florian Lejeune	0	0	152	0	0	0
1	pase	1564	233681	42.9	6.7	0	37	1	2372222	Almería	Lucas Robertone	1	0	0	27	25.6	0
1	pase	1564	469402	26.2	28.3	0	39	1	2372222	Almería	Edgar González	1	0	0	29.8	67.5	0
1	pase	1564	210977	30.4	67.8	0	43	1	2372222	Almería	Srdjan Babic	1	0	0	41.4	94.4	0
1	pase_fallado	1564	463170	41.6	94.4	0	46	1	2372222	Almería	Iddrisu Baba	0	0	0	42.8	94.7	0
74	bloqueo_pase	184	183462	55.7	4.9	0	46	1	2372222	Rayo Vallecano	Unai López	1	0	0	0	0	0
5	balon_fuera	184	183462	51.5	0	0	48	1	2372222	Rayo Vallecano	Unai López	0	0	347	0	0	0
5	balon_fuera	1564	220871	48.5	100	0	48	1	2372222	Almería	Sergio Akieme	1	0	347	0	0	0
1	pase	1564	220871	59.1	100	1	3	1	2372222	Almería	Sergio Akieme	1	0	0	66.7	96.5	0
1	pase	1564	132161	66.7	96.5	1	5	1	2372222	Almería	Adri Embarba	1	0	0	58.1	97.4	0
45	regate_recibido	184	183462	37.9	5.5	1	7	1	2372222	Rayo Vallecano	Unai López	0	0	0	0	0	0
3	regate_conseguido	1564	220871	62.1	94.5	1	7	1	2372222	Almería	Sergio Akieme	1	0	0	0	0	0
1	pase_fallado	1564	220871	57.9	97.4	1	9	1	2372222	Almería	Sergio Akieme	0	0	0	70.5	99	0
49	recuperacion_balon	184	89399	23	4	1	12	1	2372222	Rayo Vallecano	Aridane Hernández	1	0	0	0	0	0
1	pase_fallado	184	89399	22.8	3.3	1	12	1	2372222	Rayo Vallecano	Aridane Hernández	0	0	0	39.1	2.3	0
61	toco_balon	1564	220871	60	98	1	13	1	2372222	Almería	Sergio Akieme	1	0	0	0	0	0
5	balon_fuera	184	434078	42.2	0	1	14	1	2372222	Rayo Vallecano	Isi Palazón	1	0	347	0	0	0
5	balon_fuera	1564	220871	57.8	100	1	14	1	2372222	Almería	Sergio Akieme	0	0	347	0	0	0
1	pase	184	97624	46.7	0	1	37	1	2372222	Rayo Vallecano	Iván Balliu	1	0	0	61.7	5.2	0
44	duelo_aereo	184	434078	61.9	5.3	1	38	1	2372222	Rayo Vallecano	Isi Palazón	1	0	0	0	0	0
44	duelo_aereo	1564	463170	38.1	94.7	1	38	1	2372222	Almería	Iddrisu Baba	0	0	0	0	0	0
1	pase	184	434078	61.8	6	1	38	1	2372222	Rayo Vallecano	Isi Palazón	1	0	0	69.4	6.9	0
61	toco_balon	184	449300	67.9	7.6	1	40	1	2372222	Rayo Vallecano	Randy Nteka	0	0	0	0	0	0
61	toco_balon	1564	220871	34.1	94.7	1	41	1	2372222	Almería	Sergio Akieme	1	0	0	0	0	0
49	recuperacion_balon	1564	233681	35.7	86.2	1	41	1	2372222	Almería	Lucas Robertone	1	0	0	0	0	0
1	pase	1564	233681	35.9	83.8	1	41	1	2372222	Almería	Lucas Robertone	1	0	0	19.7	80.3	0
1	pase	1564	210977	19.7	80.3	1	44	1	2372222	Almería	Srdjan Babic	1	0	0	7.4	56	0
1	pase	1564	76611	7.9	47.9	1	52	1	2372222	Almería	Diego Mariño	1	0	0	9.5	25.8	0
1	pase	1564	469402	9.7	24.4	1	54	1	2372222	Almería	Edgar González	1	0	0	24.9	57.8	0
1	pase	1564	463170	18.8	54.3	1	57	1	2372222	Almería	Iddrisu Baba	1	0	0	12.6	75.4	0
