team_id	code	type	player	x	y	min	sec	period
184	5	0ball_out	77359	76.2	100	0	6	1
184	44	0aerial_duel_lost	77359	57.7	93.2	0	29	1
184	74	0blocked_pass	183462	55.7	4.9	0	46	1
184	5	0ball_out	183462	51.5	0	0	48	1
1564	5	0ball_out	220871	57.8	100	1	14	1
1564	44	0aerial_duel_lost	463170	38.1	94.7	1	38	1
184	61	0mal_control	449300	67.9	7.6	1	40	1
1564	61	0mal_control	433952	30.1	17.6	2	9	1
184	13	miss	449300	93.5	42.9	3	12	1
184	5	0ball_out	449300	100	38.1	3	13	1
1564	74	0blocked_pass	234548	16.5	7.3	4	38	1
1564	5	0ball_out	234548	15.6	0	4	40	1
1564	12	0despeje_clearance	234548	5.8	10.3	4	56	1
184	5	0ball_out	165682	95.2	100	4	57	1
1564	61	0mal_control	233681	2.9	12.2	5	8	1
1564	12	0despeje_clearance	234548	4.4	30.7	5	38	1
1564	61	0mal_control	132161	87.5	39.5	6	15	1
184	61	0mal_control	40721	76.3	73.4	6	37	1
1564	12	0despeje_clearance	234548	18	28.9	6	38	1
1564	44	0aerial_duel_lost	433952	77.6	77.6	6	50	1
1564	8	0interception	463170	10.1	36.3	7	44	1
1564	12	0despeje_clearance	469402	10.1	40.8	7	45	1
1564	44	0aerial_duel_lost	210977	20.6	55.4	8	30	1
184	13	miss	434078	81.4	50.4	9	48	1
184	5	0ball_out	434078	100	55.2	9	49	1
184	44	0aerial_duel_lost	434078	75.8	6.2	10	46	1
1564	12	0despeje_clearance	220871	25.2	92.3	10	46	1
1564	5	0ball_out	220871	31.1	100	10	48	1
1564	12	0despeje_clearance	469402	15.3	65.8	10	57	1
184	44	0aerial_duel_lost	89399	61.4	10	11	1	1
1564	13	miss	132161	87	41.5	11	31	1
1564	5	0ball_out	132161	100	36.2	11	32	1
1564	44	0aerial_duel_lost	469402	36.6	36.4	12	4	1
1564	61	0mal_control	220871	32.7	59.3	12	7	1
1564	12	0despeje_clearance	210977	10.4	60	12	34	1
1564	61	0mal_control	432838	33.8	73.5	12	36	1
1564	74	0blocked_pass	432838	30.2	73.8	12	37	1
184	12	0despeje_clearance	89399	8.4	42.9	13	7	1
184	5	0ball_out	433161	38.2	0	13	15	1
184	44	0aerial_duel_lost	40721	74	68.4	13	53	1
184	74	0blocked_pass	433161	71	75.4	14	28	1
184	8	0interception	178424	59.2	93.3	14	33	1
184	50	0dispossessed	40721	67.8	76.8	14	37	1
184	44	0aerial_duel_lost	165682	88.6	91.2	14	44	1
184	44	0aerial_duel_lost	433161	74	90.8	14	50	1
1564	61	0mal_control	432838	83.1	95.3	15	18	1
1564	5	0ball_out	432838	83.4	100	15	20	1
184	44	0aerial_duel_lost	434078	46.8	34	15	53	1
1564	12	0despeje_clearance	210977	10.8	48.4	16	5	1
1564	61	0mal_control	433952	34.3	4	16	11	1
1564	5	0ball_out	433952	34.1	0	16	11	1
184	61	0mal_control	97624	90.1	4.9	16	57	1
1564	12	0despeje_clearance	234548	11.8	48.5	17	16	1
1564	44	0aerial_duel_lost	469402	7.8	33.3	17	21	1
184	16	goal	434078	88.5	50	19	34	1
184	44	0aerial_duel_lost	165682	41.8	60.2	20	44	1
