,player_team,player_name,player_minute,pass_ec_mean
196,Real Sociedad,Jon Pacheco,344,0.4796131608774694
198,Girona,Daley Blind,1711,0.4263999944249958
246,Granada CF,Raúl Torrente,1033,0.4179471335965237
156,Real Sociedad,Robin Le Normand,1407,0.4129683557794124
41,Valencia CF,Cristhian Mosquera,1364,0.4103700865175871
391,Girona,David López,1193,0.4087537974728534
135,Real Sociedad,Igor Zubeldia,1591,0.4059008010072908
205,Villarreal,Matteo Gabbia,478,0.4043899012832816
35,Barcelona,Andreas Christensen,1093,0.3995783154797155
321,Rayo Vallecano,Pep Chavarría,245,0.3973913679172783
229,Almería,Álex Centelles,225,0.3927367360057759
94,Osasuna,Johan Mojica,724,0.3920144464893655
60,Valencia CF,Gabriel Paulista,1151,0.3880866052575475
311,Barcelona,Íñigo Martínez,543,0.3868434215618794
118,Almería,Kaiky,430,0.3795326961975307
216,Almería,Edgar González,1309,0.3785602600424813
102,Granada CF,Miguel Rubio,570,0.3772080630502828
247,Valencia CF,Thierry Correia,1380,0.3726968843028589
176,Las Palmas,Mika Mármol,1490,0.3719808555169688
103,Villarreal,Raúl Albiol,1279,0.3691221709910945
1,Barcelona,Jules Koundé,1251,0.3683787713822325
211,Atlético de Madrid,Nahuel Molina,917,0.36820571557412
375,Getafe,Diego Rico,1247,0.3670793864277744
366,Valencia CF,Mouctar Diakhaby,892,0.3656257937235166
191,Granada CF,Ignasi Miquel,1665,0.3653083843675209
264,Barcelona,Eric García,1279,0.3612216360077073
337,Atlético de Madrid,Axel Witsel,1550,0.358053609881497
369,Almería,Chumi,1384,0.3543025715662003
66,Celta de Vigo,Óscar Mingueza,1498,0.3539935146674279
352,Rayo Vallecano,Florian Lejeune,1708,0.3523820298666532
379,Sevilla,Marcos Acuña,456,0.3495844900073784
308,Valencia CF,Cenk Özkacar,587,0.3492228311154481
362,Atlético de Madrid,César Azpilicueta,949,0.3479337635877211
359,Mallorca,Pablo Maffeo,1032,0.3474792239228812
397,Osasuna,David García,1620,0.3453942429427284
393,Almería,César Montes,958,0.3438369516609137
182,Sevilla,Loïc Badé,952,0.3425484760730678
295,Villarreal,Aïssa Mandi,645,0.3397375738092273
405,Villarreal,Juan Foyth,1063,0.3395255436846991
38,Sevilla,Jesús Navas,806,0.3394041074138387
227,Athletic Club,Óscar De Marcos,1165,0.3390028792697485
181,Celta de Vigo,Unai Núñez,1709,0.3386843097408089
190,Villarreal,Jorge Cuenca,981,0.338014863559295
