,player_team,player_name,player_minute,xthreat_ec_mean
243,Real Madrid,Lucas Vázquez,482,0.5161623698485704
97,Granada CF,Wilson Manafá,241,0.470177827482817
321,Rayo Vallecano,Pep Chavarría,245,0.3996930848121424
334,Real Betis,Youssouf Sabaly,270,0.3943082052132436
188,Atlético de Madrid,Yannick Carrasco,223,0.3927354049989153
113,Cádiz,Momo Mbaye,286,0.3386074983350668
169,Real Betis,Aitor Ruibal,647,0.3337449789211119
244,Las Palmas,Sergi Cardona,1464,0.332682905254714
90,Almería,Marc Pubill,399,0.315398353576568
80,Osasuna,Rubén Peña,1171,0.3125623470733432
361,Sevilla,Juanlu Sánchez,877,0.284524074609125
189,Real Madrid,Dani Carvajal,1180,0.2831119963785157
38,Sevilla,Jesús Navas,806,0.2743541006072644
211,Atlético de Madrid,Nahuel Molina,917,0.2705466370571377
400,Girona,Miguel Gutiérrez,1682,0.2667795564525219
422,Mallorca,Toni Lato,657,0.2614252252301723
186,Osasuna,Jesús Areso,1264,0.2581845057294354
343,Real Madrid,Fran García,770,0.2543163153911869
77,Sevilla,Adrià Pedrosa,1157,0.2439363511502651
94,Osasuna,Johan Mojica,724,0.2425750999627092
335,Villarreal,Alberto Moreno,599,0.2390400352002087
227,Athletic Club,Óscar De Marcos,1165,0.2384452602211397
66,Celta de Vigo,Óscar Mingueza,1498,0.2323799287333044
266,Rayo Vallecano,Alfonso Espino,1444,0.2280537383985063
327,Almería,Álex Pozo,797,0.224241199334239
326,Rayo Vallecano,Andrei Ratiu,260,0.2238082265736976
402,Valencia CF,José Gayà,1020,0.2232284039782623
256,Villarreal,Alfonso Pedraza,894,0.2205826192524468
393,Almería,César Montes,958,0.2163630253845643
0,Athletic Club,Yuri Berchiche,981,0.2163495577252073
284,Barcelona,Alejandro Balde,1288,0.2138117902683243
401,Real Madrid,Ferland Mendy,725,0.2111125123105194
73,Alavés,Javi López,990,0.2107764784744239
165,Real Betis,Héctor Bellerín,939,0.2029832884988223
235,Villarreal,Carlos Romero,237,0.2024841544107423
56,Barcelona,João Cancelo,1267,0.1997364173505933
226,Mallorca,Jaume Costa,954,0.1965113634140512
21,Getafe,Juan Iglesias,797,0.1956123030199339
160,Mallorca,Giovanni González,1198,0.1895511325532877
359,Mallorca,Pablo Maffeo,1032,0.1756175870805407
225,Alavés,Andoni Gorosabel,1613,0.1737274996556832
356,Cádiz,Lucas Pires,757,0.1666601054631415
405,Villarreal,Juan Foyth,1063,0.1646048677749701
330,Real Betis,Juan Miranda,830,0.1605911021098822
379,Sevilla,Marcos Acuña,456,0.1597200551439279
429,Celta de Vigo,Manu Sánchez,1079,0.1578269401737463
