,player_team,player_name,player_minute,pass_ec_mean
148,Las Palmas,Álvaro Vallés,1710,0.2736402628873306
52,Granada CF,Raúl Fernández,281,0.2596218501645355
374,Real Sociedad,Álex Remiro,1656,0.2155276961803768
170,Mallorca,Predrag Rajkovic,1710,0.2152674033471197
281,Villarreal,Filip Jørgensen,1710,0.2076034403406097
20,Almería,Luís Maximiano,1530,0.2012549727147013
398,Cádiz,Jeremías Ledesma,1429,0.1887986397067153
253,Osasuna,Aitor Fernández,280,0.1806887115673935
161,Real Betis,Rui Silva,855,0.1799995972457257
93,Girona,Paulo Gazzaniga,1800,0.1759397984422375
355,Osasuna,Sergio Herrera,1430,0.1757980347504912
309,Granada CF,André Ferreira,1339,0.1750700972074546
144,Athletic Club,Unai Simón,1800,0.1668198468542705
408,Alavés,Antonio Sivera,1710,0.1642258119348525
10,Rayo Vallecano,Stole Dimitrievski,1710,0.1470606136239415
416,Real Betis,Claudio Bravo,630,0.1459208487039588
277,Sevilla,Marko Dmitrovic,990,0.1447451307651283
179,Celta de Vigo,Vicente Guaita,872,0.1418665979484154
57,Real Madrid,Kepa,990,0.140413415631735
386,Barcelona,Marc-André ter Stegen,1170,0.1395335148204543
373,Sevilla,Ørjan Nyland,630,0.1372231899607988
67,Valencia CF,Giorgi Mamardashvili,1710,0.1273736351598014
365,Getafe,David Soria,1710,0.1265189081890767
239,Barcelona,Iñaki Peña,540,0.1118591345146426
32,Real Betis,Fran Vieites,225,0.1114308957102386
82,Atlético de Madrid,Jan Oblak,1710,0.1026562759529711
13,Celta de Vigo,Iván Villar,835,0.0997014680666854
204,Real Madrid,Andriy Lunin,720,0.0664980645438206
68,Cádiz,David Gil,281,0.0520404598078175
