,player_team,player_name,player_minute,xthreat_ec_mean
52,Granada CF,Raúl Fernández,281,0.0477486719175799
161,Real Betis,Rui Silva,855,0.025622157333105
32,Real Betis,Fran Vieites,225,0.0253495314182708
20,Almería,Luís Maximiano,1530,0.0244433635480887
67,Valencia CF,Giorgi Mamardashvili,1710,0.022909383257515
309,Granada CF,André Ferreira,1339,0.0219734594604659
68,Cádiz,David Gil,281,0.0192750508217229
277,Sevilla,Marko Dmitrovic,990,0.0190550746502504
57,Real Madrid,Kepa,990,0.0176891890168362
281,Villarreal,Filip Jørgensen,1710,0.0176606245523771
10,Rayo Vallecano,Stole Dimitrievski,1710,0.0175699699485975
82,Atlético de Madrid,Jan Oblak,1710,0.016927317812887
93,Girona,Paulo Gazzaniga,1800,0.0167837590320076
386,Barcelona,Marc-André ter Stegen,1170,0.0150335795663927
148,Las Palmas,Álvaro Vallés,1710,0.0144703274882145
374,Real Sociedad,Álex Remiro,1656,0.0133912138723856
170,Mallorca,Predrag Rajkovic,1710,0.0117461625468175
398,Cádiz,Jeremías Ledesma,1429,0.0102789970662912
204,Real Madrid,Andriy Lunin,720,0.0100215103375599
239,Barcelona,Iñaki Peña,540,0.0092901223260498
365,Getafe,David Soria,1710,0.0092774085108501
408,Alavés,Antonio Sivera,1710,0.009207917949062
355,Osasuna,Sergio Herrera,1430,0.009062122204788
13,Celta de Vigo,Iván Villar,835,0.0085184890006846
373,Sevilla,Ørjan Nyland,630,0.0076778922159656
144,Athletic Club,Unai Simón,1800,0.0069565931031345
253,Osasuna,Aitor Fernández,280,0.0061840991260209
179,Celta de Vigo,Vicente Guaita,872,0.0059993120916834
416,Real Betis,Claudio Bravo,630,0.0051608598431482
