,player_team,player_name,player_minute,difference_ec_mean
275,Girona,Valery Fernández,360,0.3724498006909326
167,Granada CF,Antonio Puertas,603,0.3689343436765028
104,Rayo Vallecano,Álvaro García,1382,0.2875039601005168
276,Almería,Arnau Puigmal,248,0.2866059201806726
325,Las Palmas,Marvin Park,652,0.2599926263310221
149,Las Palmas,Munir El Haddadi,1413,0.2456796436560489
114,Valencia CF,Diego López,1357,0.2348156439377862
310,Las Palmas,Pejiño,429,0.2284929777086499
27,Athletic Club,Iñaki Williams,1569,0.2263245008993145
132,Villarreal,Yeremy Pino,479,0.2160734276846939
136,Real Madrid,Brahim Díaz,539,0.2066404485468581
272,Almería,Largie Ramazani,1077,0.1997026144542442
412,Sevilla,Erik Lamela,338,0.198580243479546
133,Real Betis,Luiz Henrique,347,0.1873985578872339
81,Real Betis,Ayoze Pérez,1451,0.1807443386830412
406,Valencia CF,Fran Pérez,1264,0.1750763762804613
403,Almería,Sergio Arribas,1335,0.1668059403005889
222,Alavés,Xeber Alkain,272,0.1653705339098604
31,Cádiz,Robert Navarro,386,0.1578396583389973
175,Atlético de Madrid,Saúl Ñíguez,808,0.1523312886641379
312,Girona,Sávio,1571,0.1508718587578597
389,Rayo Vallecano,Jorge de Frutos,585,0.1498342264979829
364,Real Sociedad,Arsen Zakharyan,475,0.1393756961922469
319,Real Betis,Assane Diao,798,0.1379323348432099
385,Alavés,Abderrahmane Rebbach,578,0.1359222323171059
214,Real Sociedad,Ander Barrenetxea,897,0.134984039017461
45,Athletic Club,Nico Williams,1328,0.1217524127186649
376,Atlético de Madrid,Rodrigo Riquelme,746,0.1215566951982179
9,Atlético de Madrid,Marcos Llorente,1277,0.1212147581674459
306,Getafe,Jaime Mata,789,0.1157211509875377
387,Girona,Viktor Tsygankov,990,0.114369100395372
288,Athletic Club,Alex Berenguer,651,0.1083343026536916
100,Villarreal,Ilias Akhomach,644,0.1068532966931956
286,Valencia CF,Sergi Canós,497,0.1062904295433957
233,Real Betis,Abde Ezzalzouli,570,0.0977703312168682
79,Celta de Vigo,Carles Pérez,361,0.0849034621711431
287,Atlético de Madrid,Samuel Lino,899,0.0825469211930835
236,Alavés,Ianis Hagi,554,0.0796398472550097
409,Getafe,José Ángel Carmona,517,0.0696373302982011
317,Barcelona,Gavi,943,0.0635421555764463
268,Alavés,Álex Sola,650,0.0593347793439979
318,Celta de Vigo,Jonathan Bamba,1415,0.0587710416317259
110,Real Betis,Rodri,605,0.0568099112246144
371,Villarreal,Álex Baena,1185,0.0507380826659081
55,Osasuna,Pablo Ibáñez,406,0.0501682561698007
357,Athletic Club,Oihan Sancet,1338,0.0494616855263151
87,Real Sociedad,Mikel Merino,1344,0.0484160315200183
146,Osasuna,Aimar Oroz,1528,0.0471144081854179
109,Granada CF,Bryan Zaragoza,1380,0.0458996642548744
197,Almería,Gonzalo Melero,746,0.0439071284112325
413,Girona,Yangel Herrera,1097,0.0423858354019198
150,Granada CF,José Callejón,538,0.035802918188871
42,Real Sociedad,Beñat Turrientes,580,0.031407992961023
116,Girona,Yan Couto,1156,0.0222970899472736
231,Getafe,Mason Greenwood,1070,0.02071651749038
152,Valencia CF,Selim Amallah,487,0.0179881980857061
33,Sevilla,Óliver Torres,759,0.0097491026493622
86,Almería,Adri Embarba,1285,0.0069142649412702
178,Mallorca,Dani Rodríguez,1433,0.0041813252797238
434,Las Palmas,Javi Muñoz,1349,-0.004643450621107
351,Barcelona,Sergi Roberto,357,-0.005145034037515
12,Alavés,Luis Rioja,1508,-0.0065181486166994
89,Real Madrid,Jude Bellingham,1463,-0.0097465416343918
417,Almería,Lázaro,247,-0.0133707243468193
24,Getafe,Nemanja Maksimovic,1696,-0.0156358001625184
421,Alavés,Jon Guridi,1364,-0.0157538615699173
372,Cádiz,Iván Alejo,1143,-0.0183932546364834
121,Getafe,Carles Aleñá,603,-0.0192790849984871
249,Real Sociedad,Brais Méndez,1462,-0.0301338770628207
293,Mallorca,Antonio Sánchez,752,-0.0349653417696592
212,Celta de Vigo,Luca de la Torre,1128,-0.0371638433952121
250,Real Madrid,Luka Modric,804,-0.0480777864300727
74,Las Palmas,Alberto Moleiro,520,-0.0490566196454097
420,Sevilla,Suso,852,-0.049815874082226
270,Valencia CF,Javi Guerra,1315,-0.0500046208448346
209,Celta de Vigo,Franco Cervi,432,-0.0541176747490899
172,Rayo Vallecano,Isi Palazón,1476,-0.0557702307490075
207,Cádiz,Rubén Sobrino,643,-0.0652107615209004
323,Granada CF,Óscar Melendo,783,-0.0900892891411502
76,Las Palmas,Enzo Loiodice,1102,-0.0930812040987174
49,Las Palmas,Jonathan Viera,619,-0.0933437702045759
298,Barcelona,Pedri,617,-0.0974387921588607
392,Villarreal,Santi Comesaña,477,-0.0990489196204371
297,Cádiz,Gonzalo Escalante,691,-0.1012728946180706
274,Cádiz,Álex Fernández,744,-0.104195710191616
273,Granada CF,Álvaro Carreras,474,-0.1085675715999141
290,Girona,Iván Martín,1481,-0.1106753798399312
208,Athletic Club,Iker Muniain,321,-0.1159628981074971
377,Valencia CF,Hugo Guillamón,432,-0.1191207967697374
432,Villarreal,Ramon Terrats,615,-0.1193977254174025
131,Osasuna,Jon Moncayola,820,-0.1218741157990993
289,Real Betis,Isco,1503,-0.1272410872016266
346,Valencia CF,Dimitri Foulquier,554,-0.1281135155730218
168,Osasuna,Lucas Torró,1025,-0.1299943356969914
140,Atlético de Madrid,Pablo Barrios,562,-0.1321788098281117
125,Sevilla,Djibril Sow,978,-0.1333819485971734
261,Villarreal,Kiko Femenía,209,-0.1410654187493132
183,Cádiz,Darwin Machís,722,-0.1439111197221591
383,Osasuna,Moi Gómez,1079,-0.1576426039476113
14,Real Betis,Andrés Guardado,352,-0.1646773817302863
99,Real Madrid,Federico Valverde,1568,-0.1686480532999839
302,Mallorca,Sergi Darder,1139,-0.1768396255179849
75,Sevilla,Ivan Rakitic,1370,-0.1810451572547479
203,Rayo Vallecano,Pathé Ciss,1008,-0.1824215121965278
50,Mallorca,Samú Costa,1497,-0.1824416754695665
340,Athletic Club,Beñat Prados,406,-0.1834733848405586
137,Almería,Iddrisu Baba,966,-0.1846203174586
15,Barcelona,Ilkay Gündogan,1567,-0.1869752546998415
415,Real Sociedad,Martín Zubimendi,1697,-0.1929682132941471
18,Getafe,Óscar Rodríguez,309,-0.1931487024534066
2,Mallorca,Manu Morlanes,571,-0.193891374672615
115,Athletic Club,Mikel Vesga,1052,-0.1954508069744999
36,Atlético de Madrid,Rodrigo De Paul,1012,-0.1989903026057511
404,Real Betis,Sergi Altimira,284,-0.2073927131423816
40,Granada CF,Sergio Ruiz,1052,-0.2076423277600591
237,Athletic Club,Dani García,399,-0.2121588506530008
354,Athletic Club,Íñigo Ruíz de Galarreta,1222,-0.2174069733376181
