,player_team,player_name,player_minute,pass_ec_mean
18,Getafe,Óscar Rodríguez,309,0.5402765960633307
242,Barcelona,Frenkie de Jong,936,0.4389733245393343
128,Las Palmas,Kirian Rodríguez,1511,0.432820692672022
363,Real Betis,William Carvalho,324,0.4305778910237737
25,Atlético de Madrid,Koke,1178,0.4191305255050065
221,Real Madrid,Toni Kroos,1210,0.4177241158076047
49,Las Palmas,Jonathan Viera,619,0.4166401172840696
177,Athletic Club,Ander Herrera,585,0.4149965926100856
399,Girona,Aleix García,1790,0.3997264860655452
3,Alavés,Ander Guevara,1575,0.3973282946535483
289,Real Betis,Isco,1503,0.3963402946554452
124,Las Palmas,Máximo Perrone,745,0.3956969628757885
265,Rayo Vallecano,Unai López,1007,0.392711710901809
36,Atlético de Madrid,Rodrigo De Paul,1012,0.3912567370996079
383,Osasuna,Moi Gómez,1079,0.3865219831492019
250,Real Madrid,Luka Modric,804,0.3729802112297426
420,Sevilla,Suso,852,0.3714758674171071
271,Real Betis,Marc Roca,1429,0.3649082797869155
164,Celta de Vigo,Hugo Sotelo,305,0.3626861062103235
306,Getafe,Jaime Mata,789,0.361060866268174
193,Villarreal,Dani Parejo,1577,0.3594917507956944
37,Real Madrid,Eduardo Camavinga,751,0.3587616247909239
207,Cádiz,Rubén Sobrino,643,0.3586300126439562
346,Valencia CF,Dimitri Foulquier,554,0.3583423530453601
139,Almería,Lucas Robertone,1149,0.3570994001754171
342,Cádiz,Rubén Alcaraz,1518,0.3563192683764966
121,Getafe,Carles Aleñá,603,0.3507557444660202
69,Celta de Vigo,Carlos Dotor,505,0.3503122541295755
234,Getafe,Luis Milla,631,0.3486929140790267
44,Osasuna,Iker Muñoz,709,0.3485353161526592
99,Real Madrid,Federico Valverde,1568,0.3479002441659805
314,Valencia CF,Pepelu,1685,0.3474607814308821
273,Granada CF,Álvaro Carreras,474,0.3452249881261782
307,Real Madrid,Aurélien Tchouaméni,981,0.3446803021212199
15,Barcelona,Ilkay Gündogan,1567,0.3435122615718806
75,Sevilla,Ivan Rakitic,1370,0.3407472581871724
50,Mallorca,Samú Costa,1497,0.3404442902833504
231,Getafe,Mason Greenwood,1070,0.340096138015193
155,Granada CF,Gerard Gumbau,1430,0.3383641612721722
232,Sevilla,Fernando,459,0.3382694527035007
377,Valencia CF,Hugo Guillamón,432,0.3375281414466966
236,Alavés,Ianis Hagi,554,0.3361870468792657
208,Athletic Club,Iker Muniain,321,0.3339941617682205
153,Granada CF,Gonzalo Villar,937,0.3328766707527598
348,Sevilla,Boubakary Soumaré,792,0.3328144766155653
115,Athletic Club,Mikel Vesga,1052,0.3314118877890818
280,Celta de Vigo,Fran Beltrán,1095,0.3313324733738944
12,Alavés,Luis Rioja,1508,0.3296351275654305
131,Osasuna,Jon Moncayola,820,0.3294539347909047
14,Real Betis,Andrés Guardado,352,0.3289193527648401
241,Alavés,Antonio Blanco,1161,0.3288918156529122
33,Sevilla,Óliver Torres,759,0.3274666290879517
34,Barcelona,Oriol Romeu,658,0.3266607551991609
318,Celta de Vigo,Jonathan Bamba,1415,0.3240715516236154
354,Athletic Club,Íñigo Ruíz de Galarreta,1222,0.3219852921149985
89,Real Madrid,Jude Bellingham,1463,0.3189446872146805
146,Osasuna,Aimar Oroz,1528,0.3181877423974306
107,Celta de Vigo,Renato Tapia,647,0.3166965794370315
411,Villarreal,Étienne Capoue,1141,0.316455580104748
421,Alavés,Jon Guridi,1364,0.3141577074484374
302,Mallorca,Sergi Darder,1139,0.3132773530928735
298,Barcelona,Pedri,617,0.3111850645001934
40,Granada CF,Sergio Ruiz,1052,0.3089285713919104
357,Athletic Club,Oihan Sancet,1338,0.3057666413312745
183,Cádiz,Darwin Machís,722,0.3057595890969272
371,Villarreal,Álex Baena,1185,0.3031488597639041
51,Getafe,Mauro Arambarri,337,0.3018350417403668
172,Rayo Vallecano,Isi Palazón,1476,0.3016748139967272
274,Cádiz,Álex Fernández,744,0.3015923965407079
203,Rayo Vallecano,Pathé Ciss,1008,0.3007274348785485
329,Cádiz,Rominigue Kouamé,462,0.300301802565817
159,Mallorca,Omar Mascarell,638,0.3000782441304046
180,Rayo Vallecano,Óscar Valentín,1404,0.2993929854072242
268,Alavés,Álex Sola,650,0.2992690593074216
105,Sevilla,Joan Jordán,255,0.2945210165147986
214,Real Sociedad,Ander Barrenetxea,897,0.2942762492179528
