,player_team,player_name,player_minute,xthreat_ec_mean
167,Granada CF,Antonio Puertas,603,0.5833423451502927
275,Girona,Valery Fernández,360,0.5590885255126785
104,Rayo Vallecano,Álvaro García,1382,0.549285657113705
27,Athletic Club,Iñaki Williams,1569,0.4956203886692729
276,Almería,Arnau Puigmal,248,0.4819318980246974
306,Getafe,Jaime Mata,789,0.4767820172557118
132,Villarreal,Yeremy Pino,479,0.4579566791296934
325,Las Palmas,Marvin Park,652,0.45457167194994
114,Valencia CF,Diego López,1357,0.4509181901527781
133,Real Betis,Luiz Henrique,347,0.4491698282738619
136,Real Madrid,Brahim Díaz,539,0.4470481127137218
412,Sevilla,Erik Lamela,338,0.4364573081070931
81,Real Betis,Ayoze Pérez,1451,0.4309506729886772
214,Real Sociedad,Ander Barrenetxea,897,0.4292602882354137
236,Alavés,Ianis Hagi,554,0.4158268941342755
406,Valencia CF,Fran Pérez,1264,0.4146852842072448
149,Las Palmas,Munir El Haddadi,1413,0.4100946854269806
45,Athletic Club,Nico Williams,1328,0.4084961935578839
222,Alavés,Xeber Alkain,272,0.4073707956511641
310,Las Palmas,Pejiño,429,0.4064046160101453
175,Atlético de Madrid,Saúl Ñíguez,808,0.3951121444943644
403,Almería,Sergio Arribas,1335,0.3857615984825704
318,Celta de Vigo,Jonathan Bamba,1415,0.3828425932553413
31,Cádiz,Robert Navarro,386,0.3799600808848201
385,Alavés,Abderrahmane Rebbach,578,0.3775591961064677
272,Almería,Largie Ramazani,1077,0.3657892271380779
146,Osasuna,Aimar Oroz,1528,0.3653021505828485
9,Atlético de Madrid,Marcos Llorente,1277,0.3644310471581156
312,Girona,Sávio,1571,0.3626269575154373
231,Getafe,Mason Greenwood,1070,0.3608126555055732
376,Atlético de Madrid,Rodrigo Riquelme,746,0.360387715418017
268,Alavés,Álex Sola,650,0.3586038386514196
319,Real Betis,Assane Diao,798,0.3576172091566819
357,Athletic Club,Oihan Sancet,1338,0.3552283268575897
79,Celta de Vigo,Carles Pérez,361,0.3544649532507551
371,Villarreal,Álex Baena,1185,0.3538869424298124
409,Getafe,José Ángel Carmona,517,0.3515626153130417
364,Real Sociedad,Arsen Zakharyan,475,0.3487867883763393
288,Athletic Club,Alex Berenguer,651,0.3479253272512058
18,Getafe,Óscar Rodríguez,309,0.3471278936099239
389,Rayo Vallecano,Jorge de Frutos,585,0.3447278713488991
110,Real Betis,Rodri,605,0.3443781124945199
87,Real Sociedad,Mikel Merino,1344,0.3415586054610452
33,Sevilla,Óliver Torres,759,0.3372157317373139
121,Getafe,Carles Aleñá,603,0.3314766594675332
387,Girona,Viktor Tsygankov,990,0.3309164582541276
100,Villarreal,Ilias Akhomach,644,0.3275827604977827
55,Osasuna,Pablo Ibáñez,406,0.3259400924214717
250,Real Madrid,Luka Modric,804,0.3249024247996698
233,Real Betis,Abde Ezzalzouli,570,0.324688300894399
49,Las Palmas,Jonathan Viera,619,0.3232963470794936
12,Alavés,Luis Rioja,1508,0.3231169789487311
420,Sevilla,Suso,852,0.321659993334881
197,Almería,Gonzalo Melero,746,0.319141636787997
287,Atlético de Madrid,Samuel Lino,899,0.3188888098298574
89,Real Madrid,Jude Bellingham,1463,0.3091981455802888
286,Valencia CF,Sergi Canós,497,0.3033999151795221
421,Alavés,Jon Guridi,1364,0.2984038458785201
178,Mallorca,Dani Rodríguez,1433,0.2967154156362503
317,Barcelona,Gavi,943,0.293743408454386
207,Cádiz,Rubén Sobrino,643,0.2934192511230558
86,Almería,Adri Embarba,1285,0.2851058723139982
109,Granada CF,Bryan Zaragoza,1380,0.2787097660975611
289,Real Betis,Isco,1503,0.2690992074538186
116,Girona,Yan Couto,1156,0.2675520154578502
150,Granada CF,José Callejón,538,0.263511053178547
372,Cádiz,Iván Alejo,1143,0.25818446933801
249,Real Sociedad,Brais Méndez,1462,0.2577402847895813
413,Girona,Yangel Herrera,1097,0.2530451624203416
351,Barcelona,Sergi Roberto,357,0.2500260555638567
152,Valencia CF,Selim Amallah,487,0.2492394669365637
172,Rayo Vallecano,Isi Palazón,1476,0.2459045832477197
212,Celta de Vigo,Luca de la Torre,1128,0.2399192299475866
273,Granada CF,Álvaro Carreras,474,0.2366574165262641
434,Las Palmas,Javi Muñoz,1349,0.2357797862487241
346,Valencia CF,Dimitri Foulquier,554,0.2302288374723383
383,Osasuna,Moi Gómez,1079,0.2288793792015905
293,Mallorca,Antonio Sánchez,752,0.2219768776908317
24,Getafe,Nemanja Maksimovic,1696,0.2190520297444464
377,Valencia CF,Hugo Guillamón,432,0.218407344676959
208,Athletic Club,Iker Muniain,321,0.2180312636607233
42,Real Sociedad,Beñat Turrientes,580,0.2176785953341465
298,Barcelona,Pedri,617,0.2137462723413326
131,Osasuna,Jon Moncayola,820,0.2075798189918054
323,Granada CF,Óscar Melendo,783,0.1992206751966334
274,Cádiz,Álex Fernández,744,0.1973966863490918
36,Atlético de Madrid,Rodrigo De Paul,1012,0.1922664344938567
392,Villarreal,Santi Comesaña,477,0.1899501313961744
209,Celta de Vigo,Franco Cervi,432,0.1895841239441619
74,Las Palmas,Alberto Moleiro,520,0.1885588505751213
76,Las Palmas,Enzo Loiodice,1102,0.1882975031467359
290,Girona,Iván Martín,1481,0.1801354358934347
99,Real Madrid,Federico Valverde,1568,0.1792521908659965
270,Valencia CF,Javi Guerra,1315,0.1756671496690916
297,Cádiz,Gonzalo Escalante,691,0.1706923440865002
14,Real Betis,Andrés Guardado,352,0.1642419710345537
