,player_team,player_name,player_minute,difference_ec_mean
187,Almería,Ibrahima Koné,261,0.5097491997854888
259,Girona,Artem Dovbyk,1182,0.4896053454527437
394,Atlético de Madrid,Ángel Correa,549,0.4808108946187129
129,Alavés,Kike García,771,0.4190537606806459
230,Real Sociedad,Carlos Fernández,406,0.3902366110884106
347,Celta de Vigo,Tasos Douvikas,391,0.3805187454668721
430,Granada CF,Lucas Boyé,1222,0.372082337299208
380,Barcelona,Robert Lewandowski,1359,0.3602322953099867
92,Sevilla,Youssef En-Nesyri,1192,0.3542972988043664
320,Alavés,Samu,1023,0.3512681417382042
127,Cádiz,Maximiliano Gómez,678,0.3283016052171676
210,Real Madrid,Joselu,873,0.3239642717443776
108,Real Sociedad,Umar Sadiq,621,0.3171385447504202
88,Osasuna,Ante Budimir,1390,0.3148950058456906
358,Girona,Cristhian Stuani,612,0.3078216437493634
344,Real Madrid,Rodrygo,1408,0.3037452163844789
279,Sevilla,Rafa Mir,328,0.3011058913371143
228,Real Sociedad,Mikel Oyarzabal,1238,0.2991880605731787
91,Rayo Vallecano,Sergio Camello,718,0.2982704035306383
194,Barcelona,Ferran Torres,804,0.291304246797613
117,Osasuna,Raúl García,409,0.2908418064146137
166,Mallorca,Abdón Prats,672,0.2851320886423112
28,Mallorca,Cyle Larin,853,0.2797591210675266
300,Granada CF,Myrto Uzuni,1393,0.2794806514624275
332,Las Palmas,Sory Kaba,584,0.2719751283839675
16,Atlético de Madrid,Memphis Depay,276,0.2680836766410116
65,Valencia CF,Hugo Duro,1563,0.2670612370757019
59,Celta de Vigo,Jørgen Strand Larsen,1511,0.2547857485026901
219,Atlético de Madrid,João Félix,1007,0.25215087277987
301,Real Betis,Borja Iglesias,359,0.2401135391569213
39,Real Betis,Willian José,932,0.2383239782410172
98,Real Madrid,Vinícius Júnior,769,0.2341116555456597
251,Sevilla,Dodi Lukébakio,743,0.2244681138546523
388,Cádiz,Chris Ramos,1421,0.2216692195687837
360,Las Palmas,Sandro Ramírez,557,0.2171644093137922
138,Mallorca,Vedat Muriqi,1059,0.213031066657269
338,Almería,Luis Suárez,699,0.2107696805567306
428,Atlético de Madrid,Álvaro Morata,1272,0.2079515093375447
426,Athletic Club,Gorka Guruzeta,1398,0.1982488413269563
425,Almería,Léo Baptistão,1030,0.1930887154814087
262,Villarreal,Alexander Sørloth,1130,0.1926083783304495
283,Villarreal,José Luís Morales,720,0.1925517930843446
260,Osasuna,Rubén García,639,0.18816814162338
278,Rayo Vallecano,Raúl de Tomás,805,0.187968681657661
433,Rayo Vallecano,Randy Nteka,401,0.1863309994246527
424,Villarreal,Ben Brereton,261,0.1859700728179867
252,Rayo Vallecano,Kike Pérez,546,0.1754912492895453
192,Villarreal,Gerard Moreno,1216,0.1716275176112174
258,Getafe,Juanmi Latasa,1032,0.1653664221280668
313,Mallorca,Amath Ndiaye,388,0.1650188663093539
61,Sevilla,Lucas Ocampos,1463,0.1550186076412455
8,Barcelona,Fermín López,520,0.1471236521834928
6,Real Sociedad,Takefusa Kubo,1419,0.1412781359685226
147,Barcelona,Lamine Yamal,798,0.1398334491945918
328,Valencia CF,Roman Yaremchuk,320,0.1335703954297039
345,Barcelona,Raphinha,670,0.1195849468946195
112,Las Palmas,Marc Cardona,412,0.1078578404244438
269,Getafe,Borja Mayoral,1524,0.1031879935201995
396,Osasuna,José Arnáiz,451,0.0925333850517082
185,Atlético de Madrid,Antoine Griezmann,1561,0.0678097846144792
151,Cádiz,Roger Martí,1053,0.0675962175353039
368,Celta de Vigo,Iago Aspas,1364,0.0527952569928219
427,Osasuna,Chimy Avila,865,0.035335742087175
384,Girona,Portu,404,0.0331298075209908
63,Girona,Pablo Torre,416,0.0145910133022274
322,Osasuna,Kike Barja,243,0.0098205896260172
48,Real Sociedad,Mohamed-Ali Cho,239,-0.0078829592002175
23,Rayo Vallecano,Óscar Trejo,676,-0.0367761069002974
431,Valencia CF,André Almeida,484,-0.0432356698704078
