,player_team,player_name,player_minute,xthreat_ec_mean
129,Alavés,Kike García,771,0.7038317467216793
394,Atlético de Madrid,Ángel Correa,549,0.6639567383204882
187,Almería,Ibrahima Koné,261,0.6437194593581438
430,Granada CF,Lucas Boyé,1222,0.6120163433614483
127,Cádiz,Maximiliano Gómez,678,0.5871937218602958
259,Girona,Artem Dovbyk,1182,0.5812395252611908
347,Celta de Vigo,Tasos Douvikas,391,0.5456410069984566
344,Real Madrid,Rodrygo,1408,0.5378798928060231
388,Cádiz,Chris Ramos,1421,0.5292164500871893
320,Alavés,Samu,1023,0.5267994108545905
252,Rayo Vallecano,Kike Pérez,546,0.5248989544255583
230,Real Sociedad,Carlos Fernández,406,0.519392162643156
28,Mallorca,Cyle Larin,853,0.5160638981392902
117,Osasuna,Raúl García,409,0.5134836728467579
251,Sevilla,Dodi Lukébakio,743,0.5119432338519053
138,Mallorca,Vedat Muriqi,1059,0.5118959310225554
260,Osasuna,Rubén García,639,0.5102199794859645
166,Mallorca,Abdón Prats,672,0.5009458096051338
279,Sevilla,Rafa Mir,328,0.500493309874445
91,Rayo Vallecano,Sergio Camello,718,0.4992234212027659
98,Real Madrid,Vinícius Júnior,769,0.4895375593537238
108,Real Sociedad,Umar Sadiq,621,0.4881887380765772
380,Barcelona,Robert Lewandowski,1359,0.4858873118963546
59,Celta de Vigo,Jørgen Strand Larsen,1511,0.4778526431396308
88,Osasuna,Ante Budimir,1390,0.4728199871779652
194,Barcelona,Ferran Torres,804,0.4638802573084859
219,Atlético de Madrid,João Félix,1007,0.4635637470253037
425,Almería,Léo Baptistão,1030,0.4554890097907504
16,Atlético de Madrid,Memphis Depay,276,0.4531430669349777
39,Real Betis,Willian José,932,0.4526328552788321
360,Las Palmas,Sandro Ramírez,557,0.448660616580804
433,Rayo Vallecano,Randy Nteka,401,0.4480365315016672
92,Sevilla,Youssef En-Nesyri,1192,0.4473400436919733
228,Real Sociedad,Mikel Oyarzabal,1238,0.4472761133601973
192,Villarreal,Gerard Moreno,1216,0.4467998145449479
210,Real Madrid,Joselu,873,0.4460356213043153
301,Real Betis,Borja Iglesias,359,0.4443732255988215
332,Las Palmas,Sory Kaba,584,0.4340999232175967
61,Sevilla,Lucas Ocampos,1463,0.4295834093065781
65,Valencia CF,Hugo Duro,1563,0.4150206504470635
258,Getafe,Juanmi Latasa,1032,0.4083982660293812
426,Athletic Club,Gorka Guruzeta,1398,0.4070616465393215
300,Granada CF,Myrto Uzuni,1393,0.3989863703110503
278,Rayo Vallecano,Raúl de Tomás,805,0.392827779422754
269,Getafe,Borja Mayoral,1524,0.3876472014611882
358,Girona,Cristhian Stuani,612,0.3872691265005946
368,Celta de Vigo,Iago Aspas,1364,0.3836041942530079
313,Mallorca,Amath Ndiaye,388,0.3770245644902814
6,Real Sociedad,Takefusa Kubo,1419,0.3715326318976854
151,Cádiz,Roger Martí,1053,0.368936515406912
338,Almería,Luis Suárez,699,0.3686841131339721
147,Barcelona,Lamine Yamal,798,0.3591534585226297
424,Villarreal,Ben Brereton,261,0.3569482231847881
262,Villarreal,Alexander Sørloth,1130,0.3558778474511124
23,Rayo Vallecano,Óscar Trejo,676,0.354575061087886
345,Barcelona,Raphinha,670,0.3518667609490706
185,Atlético de Madrid,Antoine Griezmann,1561,0.3464104001292307
283,Villarreal,José Luís Morales,720,0.3462955688863823
428,Atlético de Madrid,Álvaro Morata,1272,0.3424558452050489
328,Valencia CF,Roman Yaremchuk,320,0.3336675932422137
8,Barcelona,Fermín López,520,0.3315838128401691
63,Girona,Pablo Torre,416,0.3004935727182151
427,Osasuna,Chimy Avila,865,0.2909188195583677
396,Osasuna,José Arnáiz,451,0.283425944485066
431,Valencia CF,André Almeida,484,0.2545822150957124
322,Osasuna,Kike Barja,243,0.233649546651827
112,Las Palmas,Marc Cardona,412,0.2271586319422849
384,Girona,Portu,404,0.1532147340984152
48,Real Sociedad,Mohamed-Ali Cho,239,0.0887816493680824
